run_number,year,label,L1T//Run summary/L1TStage2CaloLayer1/ecalOccupancy_score_ae_021123,L1T//Run summary/L1TStage2CaloLayer1/hcalOccupancy_score_ae_021123,L1T//Run summary/L1TStage2uGMT/ugmtMuonPt_score_ae_021123,L1T//Run summary/L1TStage2uGMT/ugmtMuonEta_score_ae_021123,L1T//Run summary/L1TStage2uGMT/ugmtMuonPhi_score_ae_021123,L1T//Run summary/L1TStage2uGMT/ugmtMuonPhivsEta_score_ae_021123,L1T//Run summary/L1TStage2CaloLayer2/Central-Jets/CenJetsOcc_score_ae_021123,L1T//Run summary/L1TStage2CaloLayer2/Central-Jets/CenJetsRank_score_ae_021123,L1T//Run summary/L1TStage2CaloLayer2/Forward-Jets/ForJetsOcc_score_ae_021123,L1T//Run summary/L1TStage2CaloLayer2/Forward-Jets/ForJetsRank_score_ae_021123,L1T//Run summary/L1TStage2CaloLayer2/Isolated-EG/IsoEGsOcc_score_ae_021123,L1T//Run summary/L1TStage2CaloLayer2/Isolated-EG/IsoEGsRank_score_ae_021123,L1T//Run summary/L1TStage2CaloLayer2/NonIsolated-EG/NonIsoEGsOcc_score_ae_021123,L1T//Run summary/L1TStage2CaloLayer2/NonIsolated-EG/NonIsoEGsRank_score_ae_021123,L1T//Run summary/L1TStage2CaloLayer2/Isolated-Tau/IsoTausOcc_score_ae_021123,L1T//Run summary/L1TStage2CaloLayer2/Isolated-Tau/IsoTausRank_score_ae_021123,L1T//Run summary/L1TStage2CaloLayer2/NonIsolated-Tau/TausOcc_score_ae_021123,L1T//Run summary/L1TStage2CaloLayer2/NonIsolated-Tau/TausRank_score_ae_021123,L1T//Run summary/L1TStage2CaloLayer2/Energy-Sums/ETTRank_score_ae_021123,L1T//Run summary/L1TStage2CaloLayer2/Energy-Sums/ETTEMRank_score_ae_021123,L1T//Run summary/L1TStage2CaloLayer2/Energy-Sums/HTTRank_score_ae_021123,L1T//Run summary/L1TStage2CaloLayer2/Energy-Sums/METRank_score_ae_021123,L1T//Run summary/L1TStage2CaloLayer2/Energy-Sums/METPhi_score_ae_021123,L1T//Run summary/L1TStage2CaloLayer2/Energy-Sums/METHFRank_score_ae_021123,L1T//Run summary/L1TStage2CaloLayer2/Energy-Sums/METHFPhi_score_ae_021123,L1T//Run summary/L1TStage2CaloLayer2/Energy-Sums/MHTRank_score_ae_021123,L1T//Run summary/L1TStage2CaloLayer2/Energy-Sums/MHTPhi_score_ae_021123,L1T//Run summary/L1TStage2CaloLayer2/Energy-Sums/MHTHFRank_score_ae_021123,L1T//Run summary/L1TStage2CaloLayer2/Energy-Sums/MHTHFPhi_score_ae_021123,L1T//Run summary/L1TStage2BMTF/bmtf_hwPt_score_ae_021123,L1T//Run summary/L1TStage2uGMT/BMTFInput/ugmtBMTFhwEta_score_ae_021123,L1T//Run summary/L1TStage2uGMT/BMTFInput/ugmtBMTFglbhwPhi_score_ae_021123,L1T//Run summary/L1TStage2uGMT/OMTFInput/ugmtOMTFhwPt_score_ae_021123,L1T//Run summary/L1TStage2uGMT/OMTFInput/ugmtOMTFhwEta_score_ae_021123,L1T//Run summary/L1TStage2uGMT/OMTFInput/ugmtOMTFglbhwPhiPos_score_ae_021123,L1T//Run summary/L1TStage2uGMT/OMTFInput/ugmtOMTFglbhwPhiNeg_score_ae_021123,L1T//Run summary/L1TStage2uGMT/ugmtMuonPhiEmtf_score_ae_021123,L1T//Run summary/L1TStage2EMTF/cscLCTOccupancy_score_ae_021123,L1T//Run summary/L1TObjects/L1TMuon/timing/First_bunch/muons_eta_phi_bx_firstbunch_0_score_ae_021123,L1T//Run summary/L1TObjects/L1TMuon/timing/Last_bunch/muons_eta_phi_bx_lastbunch_0_score_ae_021123,L1T//Run summary/L1TObjects/L1TTau/timing/First_bunch/tau_eta_phi_bx_firstbunch_0_score_ae_021123,L1T//Run summary/L1TObjects/L1TTau/timing/Last_bunch/tau_eta_phi_bx_lastbunch_0_score_ae_021123,L1T//Run summary/L1TObjects/L1TJet/timing/First_bunch/jet_eta_phi_bx_firstbunch_0_score_ae_021123,L1T//Run summary/L1TObjects/L1TJet/timing/Last_bunch/jet_eta_phi_bx_lastbunch_0_score_ae_021123,L1T//Run summary/L1TObjects/L1TEGamma/timing/First_bunch/ptmin_10p0_gev/egamma_eta_phi_bx_firstbunch_0_score_ae_021123,L1T//Run summary/L1TObjects/L1TEGamma/timing/Last_bunch/ptmin_10p0_gev/egamma_eta_phi_bx_lastbunch_0_score_ae_021123,L1T//Run summary/L1TObjects/L1TEGamma/timing/First_bunch/ptmin_20p0_gev/egamma_eta_phi_bx_firstbunch_0_score_ae_021123,L1T//Run summary/L1TObjects/L1TEGamma/timing/Last_bunch/ptmin_20p0_gev/egamma_eta_phi_bx_lastbunch_0_score_ae_021123,L1T//Run summary/L1TObjects/L1TEGamma/timing/First_bunch/ptmin_30p0_gev/egamma_eta_phi_bx_firstbunch_0_score_ae_021123,L1T//Run summary/L1TObjects/L1TEGamma/timing/Last_bunch/ptmin_30p0_gev/egamma_eta_phi_bx_lastbunch_0_score_ae_021123,L1T//Run summary/L1TObjects/L1TEGamma/timing/First_bunch/ptmin_10p0_gev/egamma_iso_bx_ieta_firstbunch_ptmin10p0_score_ae_021123,L1T//Run summary/L1TObjects/L1TEGamma/timing/First_bunch/ptmin_10p0_gev/egamma_noniso_bx_ieta_firstbunch_ptmin10p0_score_ae_021123,L1T//Run summary/L1TObjects/L1TEGamma/timing/Last_bunch/ptmin_10p0_gev/egamma_iso_bx_ieta_lastbunch_ptmin10p0_score_ae_021123,L1T//Run summary/L1TObjects/L1TEGamma/timing/Last_bunch/ptmin_10p0_gev/egamma_noniso_bx_ieta_lastbunch_ptmin10p0_score_ae_021123,L1T//Run summary/L1TObjects/L1TEGamma/timing/First_bunch/ptmin_20p0_gev/egamma_iso_bx_ieta_firstbunch_ptmin20p0_score_ae_021123,L1T//Run summary/L1TObjects/L1TEGamma/timing/First_bunch/ptmin_20p0_gev/egamma_noniso_bx_ieta_firstbunch_ptmin20p0_score_ae_021123,L1T//Run summary/L1TObjects/L1TEGamma/timing/Last_bunch/ptmin_20p0_gev/egamma_iso_bx_ieta_lastbunch_ptmin20p0_score_ae_021123,L1T//Run summary/L1TObjects/L1TEGamma/timing/Last_bunch/ptmin_20p0_gev/egamma_noniso_bx_ieta_lastbunch_ptmin20p0_score_ae_021123,L1T//Run summary/L1TObjects/L1TEGamma/timing/First_bunch/ptmin_30p0_gev/egamma_iso_bx_ieta_firstbunch_ptmin30p0_score_ae_021123,L1T//Run summary/L1TObjects/L1TEGamma/timing/First_bunch/ptmin_30p0_gev/egamma_noniso_bx_ieta_firstbunch_ptmin30p0_score_ae_021123,L1T//Run summary/L1TObjects/L1TEGamma/timing/Last_bunch/ptmin_30p0_gev/egamma_iso_bx_ieta_lastbunch_ptmin30p0_score_ae_021123,L1T//Run summary/L1TObjects/L1TEGamma/timing/Last_bunch/ptmin_30p0_gev/egamma_noniso_bx_ieta_lastbunch_ptmin30p0_score_ae_021123,algo
357803,2022,0,0.00031598367844960253,0.000821267105197592,0.00526648582635742,0.00047778466270231596,5.0042901106161456e-05,0.00026886908274132776,0.0003099056627967384,0.00027685416050411503,0.0024753656589717866,0.00047829246962253753,0.00017969431627870154,0.0009785650173411238,0.00016848171055079943,0.002176559068626506,0.00013559026037398482,0.0016797955806248507,0.00013735703767225456,0.0011042983255370228,0.001482341209829843,0.0024744990548203998,0.0013446617007438313,0.010846962192816625,3.815282503578421e-05,0.01090021077504727,2.3681920476503927e-05,0.0006873062964769538,5.354095821707836e-05,0.0011896517472677526,4.375099133781268e-05,0.0016515960703740362,0.00016609201279203317,0.0001120775268241526,0.003811293178587533,0.0006310167560854051,0.00010180447475315278,0.00010885826939109685,9.364547654708908e-05,0.0001125046282015837,0.0045092088134425,0.004967006139235959,0.0006250438242002653,0.0008957397937282652,0.00031501325097702134,0.0019649911501919298,0.0010981257412546067,0.0015683642535587192,0.002305775953343871,0.0028079118829564243,0.003129848932426546,0.004546507670866021,0.0005240972362992348,0.00042686245744947963,0.0006543956170331834,0.00051546933740963,0.0008737242548831502,0.000743190972823025,0.000980245021739519,0.0008510549209169,0.0011492291343867906,0.0011069666332016819,0.0011903294280120012,0.001145217671344708,ae
362091,2022,0,0.0003135567197453649,0.0006827405836470834,0.003836724345198598,9.210086980286899e-05,1.9971928307189303e-05,0.00025429681119730485,0.0003215415068958721,0.0002190262310956319,0.0026854275442174716,0.0005002501615053583,0.00018298122546841743,0.0009446599660378046,0.0001610431042448481,0.0024169634846730424,0.00013242276604332793,0.0004977472514325803,0.0001047181531760922,0.0036633221896598066,0.0013005726786986644,0.0026960018044358963,0.0012917584163786076,0.010714152474641945,4.060718063425179e-05,0.01082910528217276,4.115805031005827e-05,0.00020465688780801187,1.3583943790613504e-05,0.0010003520474192633,8.362888609006326e-06,0.0003003734288582249,5.299794857114694e-05,1.2881040494101613e-05,0.003025672151535221,0.0005015763484317211,1.5969040443462072e-05,1.4727242541017167e-05,4.665794460667786e-05,5.84175099422135e-05,0.0005803206072200191,0.0005148425217711891,0.00011647998046929442,0.00013763587904473356,6.809488207340004e-05,0.001695023582784314,0.0001559122245032776,0.00013328913497510006,0.0003829662306838267,0.000292705324274653,0.0005294971182890966,0.0004859817161231114,0.0001087766887482768,0.00012104431390704055,0.00016165361709462748,9.689238142009983e-05,0.00018663343278380645,0.0001642958054738657,0.00016901191776532177,0.00013597696824020573,0.00021687685729660655,0.0002280727144205227,0.00019491083578016766,0.00019224835657585555,ae
357542,2022,0,0.0003144124824138997,0.0008096378890143376,0.004745945703200688,0.00047967509632783226,6.15588025490567e-05,0.00026246543367979165,0.000309686805100988,0.00021714518039894353,0.002473652266638761,0.0006271110295447869,0.00017827589490548615,0.0008651272643783446,0.00015440743756772745,0.0014794616096969792,0.0001350728150524492,0.0012377352069862066,0.00012826605539953585,0.000836664678344089,0.0014690585775299532,0.0025554768637683915,0.001052398704302447,0.011053508647798055,3.100502585416753e-05,0.01109655197670943,1.8561885616174017e-05,0.0002532610962695115,4.815443374338433e-05,0.0010389703892020622,3.3678668038329114e-05,0.0005925506256487302,0.00012275775091957213,6.176548904391066e-05,0.0036762107937074653,0.0006769425763921278,6.346292500812572e-05,6.551352560445243e-05,0.00011253812106157563,0.00011374729445429724,0.0030934968591164237,0.0040364983119120824,0.0005946927957899748,0.000740507167898116,0.00032399390579839713,0.0018840071146338528,0.0009046595028676417,0.0010069633570335536,0.002264001887550986,0.0022119038285987,0.003333903318969397,0.003553671735235773,0.0003503556414989051,0.00031102759498887226,0.0004366089836001779,0.0003059948419402436,0.0006775182015704137,0.0006265504651420039,0.0007781849784274133,0.0006322645213027088,0.0008400530514248354,0.0007923597292470562,0.0011701435504229754,0.0011457653623872716,ae
361223,2022,0,0.0003100409986553981,0.0006851146485758222,0.004481738881264259,0.00012005238971847118,2.1520429723782214e-05,0.0002586958214972632,0.00031791101672171016,0.0001667413618011967,0.002679097006115991,0.0006856731582400508,0.00017664318105138605,0.0005724521607377687,0.0001590388250197624,0.004071685528357521,0.00012372603926192433,0.0024272572008712506,0.00010312212182890542,0.002938170073090929,0.0013037088848420482,0.002477960049221075,0.004164831044590262,0.009803087273640484,2.6550814789083522e-05,0.009908355033087754,2.5164681813321115e-05,0.003602958593449726,4.127023881859298e-05,0.003069015383904252,3.256057652347292e-05,0.0015366954615420392,6.846708776872768e-05,2.3772798695719187e-05,0.0036111386454802494,0.0005411225031393893,2.3756103741564358e-05,2.5911918387549067e-05,4.0442200279459e-05,7.394492399099408e-05,0.0008863013829693488,0.0008664561447825938,0.00016323196784812387,0.00019473610753113684,8.117650650244765e-05,0.001681891603628678,0.00019264549535825853,0.00023361838861072788,0.0005315638613073944,0.0005379160395840252,0.0007161929962666321,0.0008687392454947103,0.00019776209499744704,0.00016608029953640217,0.00017186639807347125,9.336421846560651e-05,0.00023749811280918083,0.00023317699471352922,0.0002566746613151009,0.00020822699874605886,0.00026648307634261905,0.0002914303108826576,0.00029642800042614285,0.00024023476654720842,ae
360889,2022,0,0.00031024721941337504,0.00069429205329562,0.004849073693268719,0.0002478463274386781,7.279544122971308e-05,0.00032824190743371704,0.00034916205605158474,0.00017123259221487838,0.002950004195652485,0.0013410200337081344,0.0002112840110239215,0.000857128460499863,0.00022989081196496744,0.004980682163444508,0.00013488284159614646,0.0030658645207858413,0.0001555207290959269,0.002261966931036442,0.0013620084371844287,0.0024428038339829364,0.0029796859389814114,0.009730843739430485,0.0001524226837181566,0.00986598860893016,0.00014882222269375087,0.002540175258335885,0.00026291567315676206,0.00240881703736664,0.0002550818690144697,0.0022285303888285378,0.000580593508329164,0.0005463076783112529,0.0034739156631650053,0.0009811320472876573,0.000581949838854499,0.0005315245936178029,0.00012845008825916515,6.050473661592832e-05,0.02771709334788729,0.022505021115540445,0.0035139147041894805,0.0042351775680245195,0.0017002762903531143,0.003129443769922785,0.007113878833757944,0.007717326457819776,0.01497216099994362,0.01854267399217833,0.022430508461599583,0.029209989305319074,0.0030546692304370144,0.002220298586854956,0.002561208769979903,0.00197907012152573,0.004714266279996226,0.0034543476174304444,0.0046303181961480115,0.003976500732242302,0.005735212024123889,0.005222072201701129,0.006059739386941084,0.006051261192579787,ae
361045,2022,0,0.00031259194528934287,0.0006996794349850614,0.0043302188532424795,0.00012311734209328372,2.4011017524088427e-05,0.00025742271780788495,0.0003201866979334688,0.00018008119210264096,0.0026686221173332528,0.000680457730552614,0.00017589252554895158,0.0005228265188487184,0.0001549897124282642,0.0027193570203263625,0.0001243079773332027,0.0018342432785579802,0.00010356460701609722,0.001921877090270781,0.0013313369196151052,0.0025646234539418358,0.0026280372936541125,0.010099559611501944,2.520463834124751e-05,0.010206632773634492,1.935194706795327e-05,0.0018895444513190756,3.189384034952283e-05,0.0017204495760780691,2.2771740248102046e-05,0.0006351338689183701,5.712288350062735e-05,1.691735262618633e-05,0.0034579368859221685,0.0005540050598842548,2.371588146000569e-05,1.876030160359543e-05,5.182543410700971e-05,5.346889478397109e-05,0.000619626721991772,0.0006541273093674343,0.00012082950475288417,0.00015348620461383034,6.121909674999372e-05,0.001672554725120039,0.00018344010359127303,0.00016916006680579607,0.0004432589423457478,0.00037010505436128785,0.0006078277996564367,0.0006503127504238947,0.00016069637698112513,0.00013215401787752625,0.0001955505636118323,8.767135042378227e-05,0.00021411876809229838,0.00021627556644971858,0.00024057483408330285,0.0001771545309100831,0.0002481513703144718,0.0002381760223221446,0.0003103580696083844,0.00021840091942921668,ae
357815,2022,0,0.00034132404625483904,0.0009334745405499244,0.003208682009598031,0.000539632560543881,5.5982890119942286e-05,0.0002544958399148338,0.00033354006251575007,0.00035049700676516743,0.0022941762557729334,0.0006595815981254885,0.00018460439528231222,0.0037602098831120085,0.00011928518427755995,0.016977888457009947,0.00015279627413930123,0.00540145385143179,0.00013830856532806284,0.005157994801814986,0.002316994964485599,0.003608122606165602,0.010272798440397695,0.013155997087398539,2.3378105482585234e-05,0.01332288813109436,1.5225432562270029e-05,0.008449243520125169,4.3305022933325526e-05,0.013172931201781202,6.14554938606619e-05,0.001957104467645617,9.581646843034076e-05,3.5039976288881126e-05,0.003155109294334153,0.0007913242981554322,4.1572914973370874e-05,3.914674309631658e-05,0.00010350646893212663,9.115919394076384e-05,0.001031096476832143,0.0011430312898166493,0.00019890219711232723,0.00030054056530396647,0.00011587262790355549,0.0018080790895871628,0.0002414046755648834,0.000301482477827458,0.0006630115708998532,0.0008535987504814421,0.0008795466104089329,0.00132835109980548,0.0002144646031604783,0.0001884077140137921,0.00020640945043886823,0.00013966386577145162,0.0002468574607136946,0.0003021091721399257,0.0002925348346886564,0.00022863715763266895,0.0003220010107061971,0.0003012934847545796,0.00043653028905761305,0.0003580241677510475,ae
357611,2022,0,0.0003187467187319417,0.0008304674178747099,0.004044749005526554,0.00039490735962119535,4.373895125505686e-05,0.0002607392581860533,0.000501042979856447,0.0002298182209139089,0.0023968221640729543,0.00043061916553738033,0.00027261231257248947,0.0008590660499775602,0.00014484279716003688,0.0014238918908167887,0.0001590133204249223,0.0017041242889735747,0.00012938778079239058,0.0016773063137427563,0.0015500519730759755,0.0026341791063383174,0.0020121735656205104,0.011723271760533624,7.054415357350098e-05,0.011787063638608665,6.543685092356307e-05,0.0007236176317214392,0.000290837948942428,0.002408914511052284,0.0002924206874383265,0.0003954714672522022,8.320039988126809e-05,4.773971504681366e-05,0.003256504009249597,0.0005859734962755708,4.873052226093495e-05,4.327207848516746e-05,7.758358104415929e-05,9.977806083907502e-05,0.0021178066003532457,0.002833241168020088,0.00035543413805111,0.00061823887386735,0.00020772133925756907,0.0018223451726143668,0.0007250999857984783,0.000917479911291621,0.0014255795397282544,0.00190762508514292,0.002023940782011611,0.0028576508349181956,0.0008278318322174675,0.0006259530021571852,0.0008422842091640176,0.0006619450202921676,0.0005571352941253796,0.000558734389507427,0.00072001919452468,0.0006202592109441286,0.0007135525633834134,0.000698559583365868,0.0008233546266393081,0.0007368323089376262,ae
360992,2022,0,0.00030640294679429487,0.0006796351491651367,0.005756850508409783,0.0002939800846316202,9.165308022467887e-05,0.00031536018740977627,0.00034223510856019743,0.00018711520769366455,0.00288512598917118,0.0010113272845277887,0.0002030493947671122,0.0010076969481937427,0.00021053039196024012,0.005708568439463629,0.00013052087160082785,0.0036372333884780415,0.00013040909288368615,0.00343621151765431,0.0012483944880482913,0.0022263878056355117,0.0015422777628153659,0.009946418854790438,0.00010140240455054209,0.01014330125558789,0.00010851897416592007,0.0009167200420454269,0.00016142361227241138,0.0011431232224876154,0.00015481828243116028,0.00349149035740489,0.0005417492963682667,0.0004910086067749842,0.0034223876200188954,0.000885370980088602,0.0004802294331027385,0.00044783632866151214,0.00012227668288574366,5.8698050179001626e-05,0.011608721550157342,0.0184449342934578,0.002140550534445649,0.0028995198646854328,0.0007204135885610083,0.0028413929866392537,0.003813143367460204,0.005808796321860514,0.008900607570824936,0.011502482813781733,0.012669098937390582,0.016227378797737193,0.002918212475715429,0.001647242949905002,0.0022782927261766166,0.0016607772283659076,0.004495629646819074,0.003183230087414755,0.003677222719709385,0.003229230321092896,0.005538585490896226,0.005283095931327092,0.00499518115709765,0.004573568640322787,ae
357406,2022,0,0.0003275095937954239,0.0008737221177769853,0.0030659871882821287,0.000422275712086546,4.006640376664999e-05,0.0002687629355895355,0.0003255860924309089,0.00022432130654301648,0.002458536738485697,0.00034195668897157925,0.00018503963834196272,0.0009924105053700845,0.00013981369282172528,0.0032498590953445724,0.00014695607018670202,0.003395280369960014,0.00015887766432229659,0.003193324531687489,0.0017076507019310844,0.0028979620824122845,0.0037422404454879117,0.011981066638299096,4.491203906751112e-05,0.012037042578293548,3.22979218242245e-05,0.002385855428738817,5.833099802308572e-05,0.005025699359914082,5.3567985557904836e-05,0.0011894427764191447,0.00022524047285029663,0.00014152182640880305,0.00377572980723717,0.0007822364388352149,0.00015974275256459058,0.00015288143119856104,6.467045861790535e-05,9.139535209589248e-05,0.00603689488629614,0.007014177730556856,0.001159928127345028,0.0015686818218003764,0.0005835493900935658,0.0024004461208197866,0.0017977892859246524,0.002474968837983365,0.004178183405069254,0.005686541366504064,0.006286111706553679,0.00686615840148331,0.0008537295651070218,0.0005408418106428222,0.0010554082943718887,0.0006697519924601055,0.0014229987403072033,0.0012425177253897154,0.0016545595585029718,0.0014953076640344387,0.0018940579846807941,0.0017858499474695433,0.002079268837873953,0.0019350813493445751,ae
