run_number,year,label,L1T//Run summary/L1TStage2CaloLayer1/ecalOccupancy_chi2prime,L1T//Run summary/L1TStage2CaloLayer1/hcalOccupancy_chi2prime,L1T//Run summary/L1TStage2uGMT/ugmtMuonPt_chi2prime,L1T//Run summary/L1TStage2uGMT/ugmtMuonEta_chi2prime,L1T//Run summary/L1TStage2uGMT/ugmtMuonPhi_chi2prime,L1T//Run summary/L1TStage2uGMT/ugmtMuonPhivsEta_chi2prime,L1T//Run summary/L1TStage2CaloLayer2/Central-Jets/CenJetsOcc_chi2prime,L1T//Run summary/L1TStage2CaloLayer2/Central-Jets/CenJetsRank_chi2prime,L1T//Run summary/L1TStage2CaloLayer2/Forward-Jets/ForJetsOcc_chi2prime,L1T//Run summary/L1TStage2CaloLayer2/Forward-Jets/ForJetsRank_chi2prime,L1T//Run summary/L1TStage2CaloLayer2/Isolated-EG/IsoEGsOcc_chi2prime,L1T//Run summary/L1TStage2CaloLayer2/Isolated-EG/IsoEGsRank_chi2prime,L1T//Run summary/L1TStage2CaloLayer2/NonIsolated-EG/NonIsoEGsOcc_chi2prime,L1T//Run summary/L1TStage2CaloLayer2/NonIsolated-EG/NonIsoEGsRank_chi2prime,L1T//Run summary/L1TStage2CaloLayer2/Isolated-Tau/IsoTausOcc_chi2prime,L1T//Run summary/L1TStage2CaloLayer2/Isolated-Tau/IsoTausRank_chi2prime,L1T//Run summary/L1TStage2CaloLayer2/NonIsolated-Tau/TausOcc_chi2prime,L1T//Run summary/L1TStage2CaloLayer2/NonIsolated-Tau/TausRank_chi2prime,L1T//Run summary/L1TStage2CaloLayer2/Energy-Sums/ETTRank_chi2prime,L1T//Run summary/L1TStage2CaloLayer2/Energy-Sums/ETTEMRank_chi2prime,L1T//Run summary/L1TStage2CaloLayer2/Energy-Sums/HTTRank_chi2prime,L1T//Run summary/L1TStage2CaloLayer2/Energy-Sums/METRank_chi2prime,L1T//Run summary/L1TStage2CaloLayer2/Energy-Sums/METPhi_chi2prime,L1T//Run summary/L1TStage2CaloLayer2/Energy-Sums/METHFRank_chi2prime,L1T//Run summary/L1TStage2CaloLayer2/Energy-Sums/METHFPhi_chi2prime,L1T//Run summary/L1TStage2CaloLayer2/Energy-Sums/MHTRank_chi2prime,L1T//Run summary/L1TStage2CaloLayer2/Energy-Sums/MHTPhi_chi2prime,L1T//Run summary/L1TStage2CaloLayer2/Energy-Sums/MHTHFRank_chi2prime,L1T//Run summary/L1TStage2CaloLayer2/Energy-Sums/MHTHFPhi_chi2prime,L1T//Run summary/L1TStage2BMTF/bmtf_hwPt_chi2prime,L1T//Run summary/L1TStage2uGMT/BMTFInput/ugmtBMTFhwEta_chi2prime,L1T//Run summary/L1TStage2uGMT/BMTFInput/ugmtBMTFglbhwPhi_chi2prime,L1T//Run summary/L1TStage2uGMT/OMTFInput/ugmtOMTFhwPt_chi2prime,L1T//Run summary/L1TStage2uGMT/OMTFInput/ugmtOMTFhwEta_chi2prime,L1T//Run summary/L1TStage2uGMT/OMTFInput/ugmtOMTFglbhwPhiPos_chi2prime,L1T//Run summary/L1TStage2uGMT/OMTFInput/ugmtOMTFglbhwPhiNeg_chi2prime,L1T//Run summary/L1TStage2uGMT/ugmtMuonPhiEmtf_chi2prime,L1T//Run summary/L1TStage2EMTF/cscLCTOccupancy_chi2prime,L1T//Run summary/L1TObjects/L1TMuon/timing/First_bunch/muons_eta_phi_bx_firstbunch_0_chi2prime,L1T//Run summary/L1TObjects/L1TMuon/timing/Last_bunch/muons_eta_phi_bx_lastbunch_0_chi2prime,L1T//Run summary/L1TObjects/L1TTau/timing/First_bunch/tau_eta_phi_bx_firstbunch_0_chi2prime,L1T//Run summary/L1TObjects/L1TTau/timing/Last_bunch/tau_eta_phi_bx_lastbunch_0_chi2prime,L1T//Run summary/L1TObjects/L1TJet/timing/First_bunch/jet_eta_phi_bx_firstbunch_0_chi2prime,L1T//Run summary/L1TObjects/L1TJet/timing/Last_bunch/jet_eta_phi_bx_lastbunch_0_chi2prime,L1T//Run summary/L1TObjects/L1TEGamma/timing/First_bunch/ptmin_10p0_gev/egamma_eta_phi_bx_firstbunch_0_chi2prime,L1T//Run summary/L1TObjects/L1TEGamma/timing/Last_bunch/ptmin_10p0_gev/egamma_eta_phi_bx_lastbunch_0_chi2prime,L1T//Run summary/L1TObjects/L1TEGamma/timing/First_bunch/ptmin_20p0_gev/egamma_eta_phi_bx_firstbunch_0_chi2prime,L1T//Run summary/L1TObjects/L1TEGamma/timing/Last_bunch/ptmin_20p0_gev/egamma_eta_phi_bx_lastbunch_0_chi2prime,L1T//Run summary/L1TObjects/L1TEGamma/timing/First_bunch/ptmin_30p0_gev/egamma_eta_phi_bx_firstbunch_0_chi2prime,L1T//Run summary/L1TObjects/L1TEGamma/timing/Last_bunch/ptmin_30p0_gev/egamma_eta_phi_bx_lastbunch_0_chi2prime,L1T//Run summary/L1TObjects/L1TEGamma/timing/First_bunch/ptmin_10p0_gev/egamma_iso_bx_ieta_firstbunch_ptmin10p0_chi2prime,L1T//Run summary/L1TObjects/L1TEGamma/timing/First_bunch/ptmin_10p0_gev/egamma_noniso_bx_ieta_firstbunch_ptmin10p0_chi2prime,L1T//Run summary/L1TObjects/L1TEGamma/timing/Last_bunch/ptmin_10p0_gev/egamma_iso_bx_ieta_lastbunch_ptmin10p0_chi2prime,L1T//Run summary/L1TObjects/L1TEGamma/timing/Last_bunch/ptmin_10p0_gev/egamma_noniso_bx_ieta_lastbunch_ptmin10p0_chi2prime,L1T//Run summary/L1TObjects/L1TEGamma/timing/First_bunch/ptmin_20p0_gev/egamma_iso_bx_ieta_firstbunch_ptmin20p0_chi2prime,L1T//Run summary/L1TObjects/L1TEGamma/timing/First_bunch/ptmin_20p0_gev/egamma_noniso_bx_ieta_firstbunch_ptmin20p0_chi2prime,L1T//Run summary/L1TObjects/L1TEGamma/timing/Last_bunch/ptmin_20p0_gev/egamma_iso_bx_ieta_lastbunch_ptmin20p0_chi2prime,L1T//Run summary/L1TObjects/L1TEGamma/timing/Last_bunch/ptmin_20p0_gev/egamma_noniso_bx_ieta_lastbunch_ptmin20p0_chi2prime,L1T//Run summary/L1TObjects/L1TEGamma/timing/First_bunch/ptmin_30p0_gev/egamma_iso_bx_ieta_firstbunch_ptmin30p0_chi2prime,L1T//Run summary/L1TObjects/L1TEGamma/timing/First_bunch/ptmin_30p0_gev/egamma_noniso_bx_ieta_firstbunch_ptmin30p0_chi2prime,L1T//Run summary/L1TObjects/L1TEGamma/timing/Last_bunch/ptmin_30p0_gev/egamma_iso_bx_ieta_lastbunch_ptmin30p0_chi2prime,L1T//Run summary/L1TObjects/L1TEGamma/timing/Last_bunch/ptmin_30p0_gev/egamma_noniso_bx_ieta_lastbunch_ptmin30p0_chi2prime
361223,2022,0,1.7226718588973513,1.9330807878146554,16.094290765369323,0.8336277255621608,1.288584574592263,0.203922837328281,0.1041660480920755,1.1809957081847555,0.21068093054025783,0.5805255787287118,0.6018019388678142,13.710586362675272,0.7760600274719425,13.737784106305122,0.9783769667345287,7.16540592413752,1.3666743519066749,11.59011938068646,8.417008822308347,5.034336627797123,5.058482243123788,1.372807267937019,0.026304150052235208,2.0449278584774646,0.032200124918442485,6.5078675723044155,0.6476739110008392,9.971441185404183,0.07932355810162971,17.60146036293311,0.026311661484311542,0.06433956414202018,6.797753234680072,0.6030791589026263,0.02298074395874966,0.03276293070922079,1.7661658366644626,0.22009629210187437,0.03756642676905872,0.04592875297635604,0.03479487875496113,0.029302609740488685,0.03088820764497671,0.048687074094177836,0.036278634251710025,0.03970406644023986,0.04226395064019869,0.040139020719635043,0.032388189356424596,0.04541051967307769,0.06263791660071567,0.05258828036743444,0.14321803008414694,0.12502019089535757,0.05026130387924947,0.05341907934956858,0.037523122342991926,0.053734156210645756,0.0918331521746365,0.04318664150427209,0.0414880392257955,0.08270079877273169
357700,2022,0,1.58585870298089,2.31799164338298,19.464015461158166,2.46396956550518,0.9470138043582178,0.35896580547011914,0.15932620238030404,2.264902958243419,0.11848200852969033,0.22504396682844843,0.3884828891680194,13.700104046020018,0.4525268046437,15.504362110934034,0.7726069711370178,8.016151071163774,0.5380682994032108,13.049730287712185,8.23046204849494,2.4054469884582743,4.596213593255441,1.0879430470304314,0.022204890036457006,2.1656967972843795,0.011967412985021856,7.014644563727321,0.626663431295981,9.87187925927683,0.029623479270572278,18.18141644812856,0.016957707959618196,0.046530289768437434,7.275900853317195,0.6901971851276942,0.021376176798026995,0.026532808762245078,1.1346753739313467,0.6395945809694893,0.04146499651867121,0.04403824642194352,0.02956655783679232,0.03614402743684463,0.022634329095976156,0.03250907822924167,0.03281583991517958,0.04188707942837757,0.04645170670268424,0.05161702652336814,0.042260390242507884,0.0603034679548959,0.08098278727582325,0.05070281609281669,0.09467860570947961,0.1112592401536312,0.055146724847531775,0.05511969092502499,0.04033135591149054,0.04516782549926935,0.07602819698850403,0.0520657686194094,0.04632810924843227,0.0625090337189034
356071,2022,1,1.4337282922556633,2.85730725375388,27.993968271426226,1.5181114877467665,0.6643868401261218,0.09135162730022313,1.082541027245327,8.914663291119442,0.13429277766214123,1.1161462312965211,1.4862413403712356,21.68423001383196,1.4457864270328808,18.97472298659172,2.083697470371053,4.147929133735299,0.3768567034720704,12.881474064202415,0.20444379575522448,2.640742306384013,5.004895323709172,0.6112853675869081,0.04453320588460498,2.956389634865193,0.16345329454901417,8.720738579241115,0.31379424750438645,12.151086340650437,0.054954644505023145,5.787387068315941,0.025769390630800023,0.038018070859874645,7.256728713192053,0.2671480426606526,0.02705440797643529,0.032565696778840914,0.27491355456969574,0.5495689096144077,0.07061499181338556,0.1001660208934665,0.03713919254836658,0.03645723899201635,0.047315316564154546,0.047210227569569836,0.05088010603345674,0.05116512733110141,0.05952605871709082,0.095726830555424,0.0718901858787664,0.09898428351614985,0.1003852507685952,0.05737664551854227,0.06381163321570647,0.065501444765338,0.0898463980899292,0.07119604483467319,0.07288723206421874,0.06186105857928383,0.068255048202726,0.057014431473405715,0.06696563576033077,0.05780986044859182
357735,2022,0,1.639572610371373,2.057536698644899,17.64340444653111,2.4299580570374872,1.0705194047870057,0.4080113590928354,0.20948319508602914,2.812630157532034,0.17554809529089496,0.2589967395255002,0.46883337660080726,11.896658558659894,0.44165187268478906,13.783957475699305,0.9222071962725292,7.40486488842881,0.6329058084337446,11.958052762742659,8.352751031497643,2.0782812787210063,4.693548750957512,1.228992454224357,0.023451637474491388,2.30768106467333,0.01477305265260086,6.839342503755542,0.8095335390518965,9.47058405772931,0.025815207481155532,16.525288695111954,0.034757449113087625,0.06568868571729665,6.2983031878747395,0.7941550624553806,0.02142422557598754,0.032232871550254914,1.2838369933885485,0.6136747501805315,0.03779544590001723,0.03117643573245275,0.025475193971412607,0.029919368104484787,0.0259509011241039,0.037669645171823654,0.041101407163445826,0.047185811934344554,0.03673433893282038,0.03876241608888171,0.03913353785196813,0.04966808780269302,0.07794165661724796,0.06596759396812224,0.07567148394219879,0.16873510725215193,0.0682130699534825,0.061524302585481506,0.03805777680818617,0.04497369608533875,0.12485889275259024,0.06560189770115585,0.03675962600143473,0.06094205950023963
357472,2022,-1,0.3317389539741745,3.3258130317001546,24.94612198804743,1.7335851683221193,0.26919712490890413,0.05108922916225931,0.03050666545214436,0.2653130385034964,0.04063788440792075,0.053611451810403395,0.04997873291594408,25.65124137450629,0.05855306841253051,11.489070919138246,0.1186482916917769,16.238320343230367,0.0755126501249759,6.583175741008924,1.0685878533149988,0.317768983355816,1.9669081507639237,0.27973770279914517,0.019892985757776108,0.6462858713639664,0.020001389609129505,3.5948281562049824,0.08228172905653036,5.313222204316983,0.01722619313844174,2.831806668465129,0.0486230892376339,0.04399725956019159,2.6509560895309257,0.08321649983677515,0.04334645569622669,0.0342328775491989,0.14094977947839699,0.1820891196352295,0.05977902021753191,0.09682940607990786,0.0653263570402111,0.06776777162698232,0.054074368415107654,0.047308641399329485,0.08170483722886666,0.08683120947751315,0.10129697581323764,0.097828066708354,0.09571837830910995,0.09843812056537544,0.05699175957746297,0.06856782063032245,0.06876831847985536,0.06745466226770232,0.06898705170283785,0.07330071460093147,0.06592997257636268,0.06987661161234603,0.08459633322052489,0.08057409157006713,0.08200968435242942,0.08584163235420834
362107,2022,0,1.8071170226817317,1.8653388996206097,15.44014685498473,0.7812744237854777,1.3115756787304655,0.19281102078549212,0.17838551337990768,1.3995188858086778,0.2370170703290499,0.5646643454238789,0.742821033671447,14.314427976511533,1.0856223257250304,12.828702618592196,2.172913966426387,7.289301498910337,2.484237014681974,11.91078802434744,10.099113429582108,5.7734806645481,5.042138582783554,1.2995688315034863,0.09128521119754089,2.0074045259735724,0.08642872153478469,6.40287129345666,0.7246328095592597,9.63890777910616,0.06204136822495195,16.223540874685863,0.015244585773881164,0.06834507835257982,6.0369623894247635,0.7001197233746942,0.019310307233881868,0.027552547110052436,1.812249612389968,0.27253707275326056,0.03368080885874107,0.04526983886276039,0.027315108139027246,0.036612084339934,0.03819324996784613,0.07977618097765816,0.04550540252477241,0.05173214940665761,0.038061602661301666,0.03552761103083875,0.04134098562609154,0.0372400907835415,0.09395249328468658,0.07138155046161879,0.14144365720911037,0.1692078685990453,0.04990831875352756,0.05274236314705799,0.03811911048728945,0.051797368318905704,0.1053750212560524,0.04084016503667004,0.038307512983619785,0.08062307440274824
361045,2022,0,1.6824221859697217,1.7465500562655714,14.520473042738644,0.938922596428066,1.4295224341619037,0.22886635408813177,0.12604219943985162,1.3396479820683715,0.2532267123370304,0.690687528739564,0.6789787099999061,12.138228830889902,0.8124425793686211,12.70489993135021,0.7951681820293196,6.926155777198978,0.9209299304035988,10.46506626876697,6.9110246976286405,4.005416430032123,5.043333377008619,1.2333251550912578,0.030605258462143375,1.9214870687657117,0.02667112080783027,6.308133614593656,0.8532255044782145,9.398673114232734,0.07358364384748417,15.81896609708876,0.019913019599004333,0.06725816171588463,5.871924478538492,0.8129698736092129,0.039998721970994855,0.02934469002608953,2.0380806530907685,0.2027818285623689,0.038031993890090474,0.035219528293171584,0.025936854785546207,0.03628195869917879,0.03580985438476474,0.06746190532447065,0.054803306926853264,0.050935665639496024,0.039172715433104244,0.033129154062897764,0.04132850465684816,0.039584335092250816,0.07606137401857613,0.06735797382209965,0.15043449587441055,0.22454262434445602,0.07323377915607819,0.07180838514034898,0.04622601185389843,0.05603704385290224,0.14070220616670287,0.06346235906875503,0.04346799552920329,0.08499539711426356
359812,2022,0,1.210439656681024,2.649795308942677,24.841563380985328,0.7377582495120568,1.0104108606371165,0.08169767683804856,0.10150702711838377,0.5962329690390938,0.06861270069964173,0.14405664551021907,0.24344634737201332,17.159419930247132,0.13494310829098835,17.069227620641136,0.5873371698809032,9.02197211739421,0.18621492920431262,12.882208309515304,2.2341997937078997,0.5835020100426307,4.866423948820157,0.43521235235488553,0.014787853275307648,1.6846941725305487,0.012141802423052354,8.146250626011534,0.3429415543089765,11.28900500533313,0.03431121117800185,11.988466133883563,0.01396194280693677,0.030686796211431132,9.292328446176551,0.1709675315294104,0.02204187293524762,0.023376126332790424,1.1450754339885796,0.13163575608979058,0.0513453621005769,0.05086256742982535,0.04261605716583555,0.03364679245176663,0.03171403214364517,0.0345721665003519,0.051928473128220055,0.05250004586762028,0.04369826486524274,0.052045022684121645,0.04661185412604016,0.059365888227262485,0.08143205438604217,0.05090224706044913,0.07684354719744978,0.10475894723333093,0.05124394679009063,0.04122839837388409,0.041803334684652096,0.053021492277967104,0.06140862021289638,0.03470845102865627,0.04392424751354309,0.050875480617977
356568,2022,-1,0.23182880530410094,1.8720370790528043,12.699943714763672,0.45607199521174396,0.13065391530445647,0.03761316953658286,0.09534763508495957,0.5941785449889391,0.05115945162354832,0.21910252113253878,0.26416908833719144,11.692755749999355,0.06485415621247734,6.314038435163329,0.31545577556503096,5.120896494509583,0.04868541387291394,4.867686346233927,0.3551545606456603,0.5150209328111147,1.0333733831055822,0.21706108732858231,0.03630646745849101,0.6179853922546492,0.053290599586395496,1.6880837798590698,0.04906309631162353,2.4901860159194333,0.03746606067345646,1.5302364132643764,0.06472398422275298,0.03992505084449912,0.7971014259416985,0.05339571021393944,0.052012625188559924,0.04623562425965899,0.04718324327546122,0.02799927023157952,0.03516314439982952,0.08062607586614713,0.07812177040733885,0.0939429900010632,0.06697842861243501,0.06427471644934259,0.09148882621283304,0.08990213868312374,0.08986496167520301,0.08260230604869956,0.07419979316769797,0.06528107926380523,0.09739185969909275,0.08026096202338628,0.09772504087328916,0.09143883019252574,0.10068947946386314,0.10275640607473677,0.10622285709336059,0.10005825199970476,0.10569331145307943,0.10792600133991397,0.10223307792848803,0.10468008910171014
361052,2022,-1,0.6075771790634357,2.737900105509749,26.71758075039238,2.834182994783849,0.498338580808275,0.4004991546753578,0.04322951964965943,0.28281287372132313,0.04427159047366254,0.09023734088073908,0.106478248553951,25.37920893901794,0.08289818144627943,17.478609169107973,0.13604723646689315,10.64599540205023,0.039218977357336426,10.831724671854726,0.6279832617705294,0.31933312311275736,3.948805237040212,0.12209015490971614,0.021130485894104236,0.9234594049676603,0.015505637762850114,7.164360397319938,0.1583240174901346,10.646097995105436,0.028214193515825818,5.716429312832512,0.03997356708575036,0.04649853518649131,3.404772955424505,2.6729198951877144,0.047417725876984985,0.030632267983867492,0.32287503291771047,0.09211442671439406,0.07022425152060788,0.09351637530741529,0.03786225218143889,0.039854414204031983,0.03741989769555057,0.04577057968149284,0.0387531662104454,0.04749715044071029,0.06009415399363629,0.07394347527554526,0.09221624980059805,0.0981693421822736,0.05315080741787529,0.03613078968164504,0.05825770282162084,0.06880901438108797,0.04413431513284221,0.043881692734814494,0.047919367215025356,0.049310089895027776,0.05464589827205834,0.039315201715984335,0.04663667920580551,0.04648649917743664
